event_id,time,src,dst,country,event_type,label
0,0.0,Citizen (Thailand),Unspecified Actor,Thailand,141,1
24,0.0,Protester (Senegal),Senelec,Senegal,141,1
11,0.0,Citizen (Ukraine),Unspecified Actor,Ukraine,143,1
16,0.0,Citizen (United States),Unspecified Actor,United States,141,1
9,0.0,Activist (Likud),Unspecified Actor,Israel,141,1
2,0.0,Protester (India),Unspecified Actor,India,141,1
5,0.0,Student (Bangladesh),Unspecified Actor,Bangladesh,141,1
6,0.0,Protester (Bangladesh),Unspecified Actor,Bangladesh,145,1
21,0.0,Employee (Bangladesh),Unspecified Actor,Bangladesh,141,1
14,0.0,Pilgrim (Nigeria),Nigeria,Nigeria,145,1
15,0.0,Pilgrim (Nigeria),Daily Trust,Nigeria,145,1
8,0.0,Activist (Likud),Unspecified Actor,Israel,141,1
23,0.0,Citizen (Senegal),Unspecified Actor,Senegal,141,1
12,0.0,Protester (Italy),Police (Italy),Italy,145,1
13,0.0,Citizen (Jordan),Unspecified Actor,Jordan,143,1
10,0.0,Student (Yemen),Unspecified Actor,Yemen,141,1
3,0.0,Citizen (France),Unspecified Actor,France,141,1
22,0.0,Citizen (Russia),Unspecified Actor,Russian Federation,141,1
7,0.0,Men (United States),Unspecified Actor,United States,141,1
4,0.0,Citizen (Pakistan),Unspecified Actor,Pakistan,141,1
19,0.0,Citizen (Russia),Unspecified Actor,Russian Federation,141,1
20,0.0,Vladimir Putin,Unspecified Actor,Russian Federation,141,1
17,0.0,Citizen (India),Unspecified Actor,India,145,1
18,0.0,Activist (China),China,China,141,1
1,0.0,Protester (Russia),Unspecified Actor,Russian Federation,141,1
50,1.0,People's Alliance for Democracy,Unspecified Actor,Thailand,141,1
48,1.0,Protester (Tanzania),Police (Tanzania),Tanzania,145,1
29,1.0,South Sudan,Unspecified Actor,Sudan,141,1
57,1.0,Activist (Brazil),Brazil,Brazil,144,1
39,1.0,Protester (Tanzania),Police (Tanzania),Tanzania,145,1
35,1.0,Employee (France),Nicolas Sarkozy,France,141,1
32,1.0,Protester (Italy),Police (Italy),Italy,145,1
56,1.0,Citizen (Argentina),Unspecified Actor,Argentina,141,1
47,1.0,Citizen (France),Unspecified Actor,France,141,1
52,1.0,Activist (Tibet Autonomous Region),Unspecified Actor,China,141,1
36,1.0,Protester (Taiwan),Unspecified Actor,Taiwan,141,1
55,1.0,Human Rights Activist (France),Unspecified Actor,France,141,1
